,Datum,Inskrivningsdata,Optimala värden,Övre konfidens,Undre konfidens,Övre prediktion,Undre prediktion
49,2020-04-19,413,458.57546533366576,489.1502361934864,428.0006944738451,506.1702703692796,410.98066029805193
50,2020-04-20,447,473.77876141532084,503.3488603202599,444.20866251038177,520.73448100831,426.8230418223316
51,2020-04-21,465,489.10118211791416,517.5927547282417,460.6096095075865,535.3852891424331,442.8170750933952
52,2020-04-22,483,504.5251688563819,531.8674914209795,477.18284629178436,550.1108185333807,458.9395191793832
53,2020-04-23,509,520.0329670298743,546.1588442444247,493.90708981532384,564.8995505133234,475.1663835464251
54,2020-04-24,531,535.6067090479621,560.4528667809052,510.7605513150191,579.7403742859393,491.4730438099849
55,2020-04-25,556,551.228496847347,574.735976473361,527.7210172213329,594.622626077175,507.8343676175189
56,2020-04-26,574,566.880483108525,588.9950493647763,544.7659168522738,609.5361145532672,524.2248516637828
57,2020-04-27,596,584.337396427845,604.9721121286998,563.7026807269901,626.2449177730958,542.4298750825941
58,2020-04-28,620,601.5413199121494,620.6471466457155,582.4354931785834,642.717544464925,560.3650953593739
59,2020-04-29,638,618.4612171124975,635.9979197769773,600.9245144480177,658.9332419394063,577.9891922855886
60,2020-04-30,659,635.0682581143788,651.0047911188889,619.1317251098686,674.8730560343706,595.2634601943869
61,2020-05-01,679,651.335873794178,665.6510166342906,637.0207309540655,690.5196991278585,612.1520484604976
62,2020-05-02,697,667.2397789049232,679.9232783601946,654.5562794496519,705.8573916182879,628.6221661915586
63,2020-05-03,709,682.7579664554574,693.8126833939417,671.7032495169732,720.8716860304027,644.6442468805122
64,2020-05-04,727,695.908343890241,705.4569213962488,686.3597663842331,733.6127757999753,658.2039119805066
65,2020-05-05,753,709.318581222955,717.4109789947851,701.2261834511249,746.6808048578656,671.9563575880444
66,2020-05-06,772,722.9828041147791,729.7211809722169,716.2444272573414,760.0753178597439,685.8902903698144
67,2020-05-07,791,736.8942933467687,742.4770328615127,731.3115538320246,773.7943723946113,699.9942142989261
68,2020-05-08,805,751.0454601776439,755.8382710491246,746.2526493061632,787.8343156816867,714.2566046736011
69,2020-05-09,821,765.4278258232799,770.0079653324449,760.847686314115,802.189579469848,728.6660721767119
70,2020-05-10,828,780.0320056064995,785.0619669518122,775.0020442611868,816.8525075637365,743.2115036492626
71,2020-05-11,839,794.9649954000267,800.9973247989873,788.9326660010662,831.935765627669,757.9942251723845
72,2020-05-12,847,810.272400526627,817.6189950577578,802.9258059954963,847.4802129381676,773.0645881150865
73,2020-05-13,863,825.9406391051317,834.7747895004675,817.1064887097959,863.4705080957765,788.4107701144869
74,2020-05-14,875,841.954306371064,852.3713219440842,831.5372907980438,879.8879730366541,804.020639705474
75,2020-05-15,889,858.2961273024666,870.3469218599254,846.2453327450079,896.7105842518188,819.8816703531145
76,2020-05-16,897,874.9469252064913,888.6549117269514,861.2389386860312,913.9130354523533,835.9808149606293
77,2020-05-17,902,891.885608360351,907.2552862825639,876.515930438138,931.4668646905903,852.3043520301115
